timestamp,ecg_measurement,qrs_detected
9.928811600000000000e+07,1.427174949599999909e+00,0.000000000000000000e+00
9.929204000000000000e+07,1.436950111300000055e+00,0.000000000000000000e+00
9.929596400000000000e+07,1.407624626100000054e+00,0.000000000000000000e+00
9.929989200000000000e+07,1.407624626100000054e+00,0.000000000000000000e+00
9.930381600000000000e+07,1.466275691899999956e+00,0.000000000000000000e+00
9.930774000000000000e+07,1.539589405000000077e+00,0.000000000000000000e+00
9.931165200000000000e+07,1.564027404700000012e+00,0.000000000000000000e+00
9.931556400000000000e+07,1.544476985900000043e+00,0.000000000000000000e+00
9.931948400000000000e+07,1.544476985900000043e+00,0.000000000000000000e+00
9.932341200000000000e+07,1.578690147299999902e+00,0.000000000000000000e+00
9.932733200000000000e+07,1.627565956099999989e+00,0.000000000000000000e+00
9.933125200000000000e+07,1.652003860400000024e+00,0.000000000000000000e+00
9.933515600000000000e+07,1.642228698700000100e+00,0.000000000000000000e+00
9.933907600000000000e+07,1.627565956099999989e+00,0.000000000000000000e+00
9.934300400000000000e+07,1.642228698700000100e+00,0.000000000000000000e+00
9.934692400000000000e+07,1.666666602999999913e+00,0.000000000000000000e+00
9.935084400000000000e+07,1.656891441299999990e+00,0.000000000000000000e+00
9.935476400000000000e+07,1.603128051699999945e+00,0.000000000000000000e+00
9.935867600000000000e+07,1.554252147599999967e+00,0.000000000000000000e+00
9.936260400000000000e+07,1.554252147599999967e+00,0.000000000000000000e+00
9.936653200000000000e+07,1.583577728200000090e+00,0.000000000000000000e+00
9.937046000000000000e+07,1.598240470799999979e+00,0.000000000000000000e+00
9.937437200000000000e+07,1.583577728200000090e+00,0.000000000000000000e+00
9.937830000000000000e+07,1.564027404700000012e+00,0.000000000000000000e+00
9.938220400000000000e+07,1.583577728200000090e+00,0.000000000000000000e+00
9.938613200000000000e+07,1.637341117799999912e+00,0.000000000000000000e+00
9.939005600000000000e+07,1.671554183900000101e+00,0.000000000000000000e+00
9.939398000000000000e+07,1.652003860400000024e+00,0.000000000000000000e+00
9.939789200000000000e+07,1.627565956099999989e+00,0.000000000000000000e+00
9.940181200000000000e+07,1.642228698700000100e+00,0.000000000000000000e+00
